Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
Dr. Raghavendra Chikkatur,7 years experience overall,HBR Layout,Bangalore,₹800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Jayaranganath M,20 years experience overall,JP Nagar 7 Phase,Bangalore,₹1000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Devananda N.S,17 years experience overall,Nagasandra,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology"
Dr. Abhijit Vilas Kulkarni,20 years experience overall,Bannerghatta Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Govardhan Reddy K,19 years experience overall,Bannerghatta Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Sanjay Bhat,14 years experience overall,Whitefield,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Sridhara G,17 years experience overall,Indiranagar,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Ravindranath Reddy D.R,20 years experience overall,Kumaraswamy Layout,Bangalore,₹900,Cardiologist,"MBBS, Diploma in Cardiology"
Dr. Jai Babu,25 years experience overall,Marathahalli,Bangalore,₹600,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS"
Dr. AV Praveen Kumar,13 years experience overall,HBR Layout,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Girish Godbole,33 years experience overall,Millers Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Sunil Dwivedi,35 years experience overall,Millers Road,Bangalore,₹1000,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology"
Dr. Anand Shenoy,36 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery"
Dr. Nagamani A.C,39 years experience overall,Koramangala 5 Block,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Keshav R,12 years experience overall,Cunningham Road,Bangalore,₹700,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
Dr. Divya Marina Fernandes,19 years experience overall,JP Nagar,Bangalore,₹900,Cardiologist,"MBBS, MD - Pediatrics, DNB - Paediatrics, DM - Cardiology"
Dr. Sridhara N,27 years experience overall,Rajajinagar,Bangalore,₹630,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Sridhara G,15 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Kapil Rangan,17 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology"
Dr. Arun B S,17 years experience overall,Malleswaram,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology"
Dr. Girish Godbole,37 years experience overall,Sarjapur Road,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Anand Shenoy,6 years experience overall,Bannerghatta Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. K H Srinivas,24 years experience overall,Yeshwanthpur,Bangalore,₹950,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine"
Dr. Divakar Bhat,33 years experience overall,Bannerghatta Road,Bangalore,₹900,Cardiologist,"MBBS, DM - Cardiology"
Dr. Charit Bhograj,20 years experience overall,HSR Layout,Bangalore,₹600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Dibyendu Majumdar,21 years experience overall,Jayanagar,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Vikranth Veeranna,23 years experience overall,JP Nagar 7 Phase,Bangalore,₹600,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS"
Dr. Vikram Kolhari,19 years experience overall,Seshadripuram,Bangalore,₹740,Cardiologist,"DM - Cardiology, MBBS"
Dr. Murali Krishna,24 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Rajpal Singh RL,24 years experience overall,Bannerghatta Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, Diploma in Cardiology"
Dr. Rangaraja,36 years experience overall,Cunningham Road,Bangalore,₹700,Cardiologist,"MBBS, DNB - General Medicine, MRCP (UK), DNB - Cardiology"
Dr. Kapil Rangan,20 years experience overall,Kundalahalli,Bangalore,₹850,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
Dr. Charit Bhograj,21 years experience overall,Millers Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Dibyendu Majumdar,23 years experience overall,Sarjapur Road,Bangalore,₹750,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
Dr. Prashant Ramdas Wankhade,5 years experience overall,Kundalahalli,Bangalore,₹800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Vikranth Veeranna,21 years experience overall,Rajarajeshwarinagar,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Gnanadev N C,21 years experience overall,Electronics City,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Sudeep K N,13 years experience overall,Seshadripuram,Bangalore,₹500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Suraj Narasimhan A Rama,14 years experience overall,Sarjapur Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Darshan K,12 years experience overall,Sarjapur Road,Bangalore,₹1550,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Dimpu Edwin,5 years experience overall,JP Nagar,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. K. S. S. Bhat,43 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Venkatesh S,29 years experience overall,JP Nagar,Bangalore,₹1050,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Srikanth K V,25 years experience overall,Hosur Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Nagaraja Moorthy,20 years experience overall,Hulimavu,Bangalore,₹700,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
Dr. Arun B S,11 years experience overall,Electronics City,Bangalore,₹800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Pradeep Kumar D,16 years experience overall,Hebbal,Bangalore,₹1000,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine"
Dr. Ravindranath Reddy D.R,17 years experience overall,Kengeri,Bangalore,₹800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Shilpa Jayaprakash,54 years experience overall,Bannerghatta Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Jagadeesh H V,49 years experience overall,HBR Layout,Bangalore,₹500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Mallesh Kariyappa,32 years experience overall,Bannerghatta Road,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. SRINIVAS B C,22 years experience overall,Mahadevapura,Bangalore,₹700,Cardiologist,"MD - Medicine, DM - Cardiology, MBBS"
Dr. Sathwik Raj V A,19 years experience overall,Mahadevapura,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Prashant Ramdas Wankhade,35 years experience overall,Sampangiramnagar,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Gnanadev N C,11 years experience overall,Sampangiramnagar,Bangalore,₹800,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
Dr. Davinder Singh Chadha,18 years experience overall,Malleswaram,Bangalore,₹600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Murali Krishna,46 years experience overall,Koramangala 5 Block,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Mahadev Swamy B,23 years experience overall,Koramangala 5 Block,Bangalore,₹1000,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS"
Dr. SRINIVAS B C,27 years experience overall,Jayanagar,Bangalore,₹550,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery"
Dr. Mallesh Kariyappa,26 years experience overall,Sarjapur Road,Bangalore,₹500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Praveen Kumar,14 years experience overall,Sarjapur Road,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Sandesh Prabhu,18 years experience overall,Millers Road,Bangalore,₹600,Cardiologist,"MBBS, PhD - Cardiology, MRCP (UK)"
Dr. K H Srinivas,34 years experience overall,Electronics City,Bangalore,₹740,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS"
Dr. Sathwik Raj V A,11 years experience overall,Hebbal,Bangalore,₹850,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
Dr. Rockey Katheria,7 years experience overall,Kengeri,Bangalore,₹800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Ameet Oswal,11 years experience overall,Bannerghatta Road,Bangalore,₹700,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
Dr. Naveen.A.J,19 years experience overall,Sarjapur Road,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Vinodh Kumar K,15 years experience overall,Millers Road,Bangalore,₹600,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology"
Dr. Praneeth SuryaDevara,8 years experience overall,Kumaraswamy Layout,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Soorampally Vijay,12 years experience overall,Mahadevapura,Bangalore,₹800,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
Dr. Santosh V Chikkodi,14 years experience overall,Sampangiramnagar,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology"
Dr. Girish B Navasundi,5 years experience overall,Jayanagar,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Anju Antony,10 years experience overall,Marathahalli,Bangalore,null,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry"
Dr. Vivek Aithal,9 years experience overall,BTM Layout,Bangalore,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Shashi Kumar B,8 years experience overall,Kogilu,Bangalore,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Rajanikanth B R,24 years experience overall,Jeevanbhimanagar,Bangalore,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Veena Sagar,9 years experience overall,JP Nagar 7 Phase,Bangalore,? 500,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Swapna F UdayaKumar,16 years experience overall,KR Puram,Bangalore,? 400,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
Dr. Veena Krishnan,10 years experience overall,Akshaya nagar,Bangalore,? 500,Dentist,BDS
Dr. Tijo George,10 years experience overall,Belathur,Bangalore,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Shilpy Kumari,14 years experience overall,Bommanahalli,Bangalore,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Shina Kurian Rao,14 years experience overall,Padmanabhanagar,Bangalore,? 500,Dentist,BDS
Dr. Rekha B.M,24 years experience overall,Padmanabhanagar,Bangalore,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Jayalakshmi K B,37 years experience overall,Kogilu,Bangalore,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Sai Krishna,5 years experience overall,Horamavu,Bangalore,? 300,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Suraj Naslapur,12 years experience overall,HSR Layout,Bangalore,? 300,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS"
Dr. Diana Rajan,5 years experience overall,KR Puram,Bangalore,? 500,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
Dr. Shivani Venkatesh,12 years experience overall,Sadashivanagar,Bangalore,? 500,Dentist,BDS
Dr. John Koshy,9 years experience overall,Marathahalli,Bangalore,? 200,Dentist,"BDS, MDS - Public Health Dentistry"
Dr. Kavya,9 years experience overall,Marathahalli,Bangalore,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Shivaprasad Gaonkar,15 years experience overall,Sarjapur Road,Bangalore,? 200,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Sucheta Kulkarni,19 years experience overall,Kanakpura Road,Bangalore,? 400,Dentist,BDS
Dr. Tenzin Lhadon,7 years experience overall,Harlur,Bangalore,? 500,Dentist,BDS
Dr. Sapna Paniker,4 years experience overall,Jeevanbhimanagar,Bangalore,null,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Rakesh Sharma C,10 years experience overall,Whitefield,Bangalore,? 350,Dentist,BDS
Dr. Kruthika M,21 years experience overall,Mahalakshmi Layout,Bangalore,? 400,Dentist,"BDS, MDS - Orthodontics"
Dr. Kousar,6 years experience overall,JP Nagar 6 Phase,Bangalore,? 400,Dentist,BDS
Dr. Sujatha Sathish,21 years experience overall,HRBR Layout,Bangalore,? 300,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Ritika Biyani,19 years experience overall,Whitefield,Bangalore,? 250,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Prince K Prasannan,13 years experience overall,Kasturi nagar,Bangalore,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology"
Dr. Vineetha Venugopalan,10 years experience overall,HSR Layout,Bangalore,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Lakshmi C Nair,15 years experience overall,Belathur,Bangalore,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Merin Jose,5 years experience overall,Kundalahalli,Bangalore,? 450,Dentist,BDS
Dr. Dinesh Shetty,19 years experience overall,Millers Road,Bangalore,? 200,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS"
Dr. B V Shashidhar,16 years experience overall,West Of Chord Road,Bangalore,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Ayushi Verma,7 years experience overall,Kundalahalli,Bangalore,? 200,Dentist,BDS
Dr. Rachana Shah,9 years experience overall,Sarjapur Road,Bangalore,? 400,Dentist,"BDS, MDS- Oral Pathology"
Dr. Mohan Thomas Nainan,32 years experience overall,Kammana Halli,Bangalore,null,Dentist,BDS
Dr. Kiran Kumar K,13 years experience overall,BTM Layout,Bangalore,? 350,Dentist,BDS
Dr. Aarfa Nasim,9 years experience overall,Electronics City,Bangalore,null,Dentist,BDS
Dr. Shrihas Rao,14 years experience overall,AECS Layout,Bangalore,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. Zubiya Khan,14 years experience overall,Frazer Town,Bangalore,? 400,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Akhil Sankar,6 years experience overall,Belathur,Bangalore,? 350,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI"
Dr. Esha Singh,7 years experience overall,Sarjapur Road,Bangalore,? 350,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS"
Dr. Dhanaswathii T,7 years experience overall,Domlur,Bangalore,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Divya R,5 years experience overall,Kammana Halli,Bangalore,? 300,Dentist,BDS
Dr. Byju Mathew,12 years experience overall,HSR Layout,Bangalore,? 200,Dentist,"BDS, Fellowship in Oral implantlogy"
Dr. Joohi Vaya,11 years experience overall,Kammana Halli,Bangalore,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Shreevidya B,17 years experience overall,BTM Layout 2nd Stage,Bangalore,? 200,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Vinuta S,18 years experience overall,Thanisandra,Bangalore,? 400,Dentist,"BDS, MDS - Periodontics"
Dr. Shaistha Khanum,10 years experience overall,Sanjay Nagar,Bangalore,? 400,Dentist,"MDS - Oral & Maxillofacial Surgery, Fellowship in Aesthetic Medicine (FAM), BDS"
Dr. Rohan S,14 years experience overall,KR Puram,Bangalore,null,Dentist,"BDS, MDS- Oral Pathology"
Dr. Uzma Hassan,10 years experience overall,Hebbal,Bangalore,? 500,Dentist,BDS
Dr. Jayashri M,6 years experience overall,Electronics City,Bangalore,null,Dentist,BDS
Dr. Jinu Clara,10 years experience overall,Bannerghatta Road,Bangalore,? 500,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Sharanya Shaker,6 years experience overall,Kasturi nagar,Bangalore,? 500,Dentist,MDS - Prosthodontics
Dr. Vinuta S,13 years experience overall,Electronics City,Bangalore,? 250,Dentist,BDS
Dr. Aparajita Shankar,10 years experience overall,Harlur,Bangalore,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Sweta S,2 years experience overall,Bellandur,Bangalore,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Divya R,8 years experience overall,JP Nagar,Bangalore,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Sravani Rudra Raju,11 years experience overall,Arekere,Bangalore,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Amol Sangewar,5 years experience overall,Sarjapur Road,Bangalore,? 300,Dentist,BDS
Dr. Ronald Tejpaul,5 years experience overall,Singasandra,Bangalore,? 500,Dentist,"BDS, Fellowship and Diplomate in Implantology from ICOI (USA)"
Dr. Supriya,5 years experience overall,BTM Layout 1st Stage,Bangalore,? 500,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Aditya T N,21 years experience overall,Sampangiramnagar,Bangalore,? 500,Dentist,"BDS, MDS - Prosthodontics"
Dr. JR Prithvi Raj,9 years experience overall,Kundalahalli,Bangalore,? 400,Dentist,BDS
Dr. Shashank,6 years experience overall,Whitefield,Bangalore,? 500,Dentist,BDS
Dr. Revathi Natesan,10 years experience overall,Kumaraswamy Layout,Bangalore,? 400,Dentist,BDS
Dr. Nitish Mathur,19 years experience overall,HSR Layout,Bangalore,? 400,Dentist,"BDS, Diploma in Implanthology"
Dr. Samprita Sahoo,15 years experience overall,Kundalahalli,Bangalore,? 300,Dentist,BDS
Dr. Snehi Chopra,11 years experience overall,Basavanagudi,Bangalore,? 400,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Feroz,12 years experience overall,HSR Layout,Bangalore,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Rakshitha Narayana,17 years experience overall,Seshadripuram,Bangalore,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. H Sushila Debi,7 years experience overall,Sarjapur Road,Bangalore,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. V S Aishwarya,2 years experience overall,Indiranagar,Bangalore,? 500,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics"
Dr. Shantanu Prakash,8 years experience overall,Vasanthnagar,Bangalore,null,Dentist,"BDS, MDS - Periodontics"
Dr. Jinu Clara,8 years experience overall,Hosur Road,Bangalore,null,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Manjunath S.B.,30 years experience overall,HSR Layout,Bangalore,null,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Krishna Shama Rao,43 years experience overall,Kengeri,Bangalore,null,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Saranya K,11 years experience overall,HSR Layout,Bangalore,? 350,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Hrishikesh Bhowmick,13 years experience overall,Yeshwanthpur,Bangalore,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Anjan Shah,28 years experience overall,Ulsoor,Bangalore,? 400,Dentist,"BDS, MDS - Prosthodontics"
Dr. Madhukeshwar Naik,25 years experience overall,Sahakaranagar,Bangalore,null,Dentist,BDS
Dr. Vishwannath Hiremath,22 years experience overall,Yelachenahalli,Bangalore,? 500,Dentist,"BDS, MDS, Certificate of Oral Implantology, PGCE(Endodontics), PGCE(Endodontics), FICOI"
Dr. Amit Kumar,13 years experience overall,Mahadevapura,Bangalore,null,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Abhishek Shetty,23 years experience overall,HSR Layout,Bangalore,? 300,Dentist,BDS
Dr. Kishan Paniker G,26 years experience overall,Sarjapur Road,Bangalore,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. Parixeet Patel,23 years experience overall,Munnekollal,Bangalore,? 300,Dentist,"BDS, MDS - Community Dentistry"
Dr. Vinay P,13 years experience overall,Sanjay Nagar,Bangalore,? 350,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Kaushik Pai S H,14 years experience overall,HSR Layout,Bangalore,? 500,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS"
Dr. Hrishikesh Bhowmick,13 years experience overall,Hoodi,Bangalore,? 300,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS"
Dr. Sebin Koyan,12 years experience overall,Kundalahalli,Bangalore,? 400,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
Dr. Madhukeshwar Naik,13 years experience overall,Sahakaranagar,Bangalore,? 300,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Vishwannath Hiremath,11 years experience overall,Yelachenahalli,Bangalore,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. C M Adarsh,19 years experience overall,JP Nagar 1 Phase,Bangalore,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Vinod Rangan,16 years experience overall,Kudlu,Bangalore,? 500,Dentist,BDS
Dr. Sunil T,21 years experience overall,Domlur,Bangalore,? 300,Dentist,"MDS - Orthodontics, BDS"
Dr. Arun Kumar B R,20 years experience overall,Banaswadi,Bangalore,? 500,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
Dr. Dheemanth Ramanath,11 years experience overall,RT Nagar,Bangalore,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Nirjhar,19 years experience overall,Banashankari 3rd Stage,Bangalore,? 400,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Sudhakara Reddy,13 years experience overall,Seegehalli,Bangalore,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. Shahul Hameed,16 years experience overall,Marathahalli,Bangalore,? 500,Dentist,"BDS, MICOI (USA)"
Dr. Deepthi RK Shashidhar,21 years experience overall,Jayanagar 4 Block,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Deepak V Rao,32 years experience overall,Indiranagar,Bangalore,₹700,Gynecologist,"DNB - Obstetrics & Gynecology, DGO, MNAMS - Obstetrics & Gynaecology, MBBS"
Dr. Kavitha Lakshmi Easwaran,11 years experience overall,Kasturi nagar,Bangalore,₹700,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
