Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
Dr. Rushikesh Patil,26 years experience overall,Mira Road,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP"
Dr. Harin Vyas,17 years experience overall,Mulund West,Mumbai,₹2000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Atul Limaye,22 years experience overall,Mulund West,Mumbai,₹1500,Cardiologist,"MD - Pediatrics, MBBS, DM - Cardiology"
Dr. Patil Amit,12 years experience overall,Chembur,Mumbai,₹1500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Amjad M Shaikh,23 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Swarup Pal,17 years experience overall,Powai,Mumbai,₹1900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Nihar Mehta,20 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Deepak R Shejol,11 years experience overall,Kurla West,Mumbai,₹1500,Cardiologist,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)"
Dr. Nilesh Gautam,22 years experience overall,Mahim,Mumbai,₹1300,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Mukul Kaushik,26 years experience overall,Powai,Mumbai,₹2600,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Ashish Mishra,4 years experience overall,Mira Road,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology"
Dr. Nitin Nanasaheb Bote,15 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Ruchit Shah,18 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Nitin Gundre,18 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Sameer Pagad,23 years experience overall,Sion,Mumbai,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. Pradeep Kumar Hasija,38 years experience overall,Mahim,Mumbai,₹3300,Cardiologist,"MBBS, Diploma in Cardiology"
Dr. Ravish Ramesh Rawal,17 years experience overall,Malad,Mumbai,₹2000,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS"
Dr. Ganesh Manudhane,12 years experience overall,Goregaon,Mumbai,₹1500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Haresh Mehta,33 years experience overall,Mahim,Mumbai,₹3300,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Suhani Talesara,14 years experience overall,Jogeshwari,Mumbai,null,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry"
Dr. Rajendra Sankpal,31 years experience overall,Powai,Mumbai,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Alok Shah,12 years experience overall,Powai,Mumbai,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Reshma Phulwar,26 years experience overall,Chembur,Mumbai,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Dipti Gandhi,39 years experience overall,Ghatkopar East,Mumbai,? 500,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Priyanka Deshpande,20 years experience overall,Borivali West,Mumbai,? 400,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
Dr. Shantanu Jambhekar,16 years experience overall,Parel,Mumbai,? 500,Dentist,BDS
Dr. Amruta Bhalchandra Wadekar,29 years experience overall,Dahisar East,Mumbai,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Karanjit Singh Chaudhary,19 years experience overall,Chembur,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Shalini Pal,16 years experience overall,Marol,Mumbai,? 500,Dentist,BDS
Dr. Aashiq Shaikh,19 years experience overall,Goregaon West,Mumbai,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Deval Naik,11 years experience overall,Andheri West,Mumbai,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Nikita Motwani,15 years experience overall,Goregaon East,Mumbai,? 300,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Nysha Garg,13 years experience overall,Matunga,Mumbai,? 300,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS"
Dr. Charmi Mehta,18 years experience overall,Kandivali West,Mumbai,? 500,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
Dr. Sanket Mehta,18 years experience overall,Powai,Mumbai,? 500,Dentist,BDS
Dr. Namrata Patil,15 years experience overall,Dahisar East,Mumbai,? 200,Dentist,"BDS, MDS - Public Health Dentistry"
Dr. Disha Sanghvi,16 years experience overall,Versova,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Noureen Hemani,13 years experience overall,Kandivali East,Mumbai,? 200,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Preeti Hooda,16 years experience overall,Borivali West,Mumbai,? 400,Dentist,BDS
Dr. Devang Shah,13 years experience overall,Borivali West,Mumbai,? 500,Dentist,BDS
Dr. Hetal Chheda,17 years experience overall,Vileparle East,Mumbai,null,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Meghal Shah,13 years experience overall,Borivali West,Mumbai,? 350,Dentist,BDS
Dr. Mayuri Jobanputra Shah,13 years experience overall,Mazgaon,Mumbai,? 400,Dentist,"BDS, MDS - Orthodontics"
Dr. Nisha Jain,21 years experience overall,Ghatkopar East,Mumbai,? 400,Dentist,BDS
Dr. Manish Kachhara,21 years experience overall,Ghatkopar East,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Parag Shah,12 years experience overall,Andheri West,Mumbai,? 250,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Mohit Solanki,13 years experience overall,Grant Road,Mumbai,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology"
Dr. Siddhi Dinesh Prabhu,13 years experience overall,Jacob Circle,Mumbai,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Fauzia Khimani Naaz,23 years experience overall,Cumballa Hill,Mumbai,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Prakash S. Jain,14 years experience overall,Chembur,Mumbai,? 450,Dentist,BDS
Dr. Sagar J Abichandani,16 years experience overall,Mulund West,Mumbai,? 200,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS"
Dr. Priyal Virani,11 years experience overall,Walkeshwar,Mumbai,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Abhishek Modi,15 years experience overall,Ghatkopar East,Mumbai,? 200,Dentist,BDS
Dr. Varun Parikh,14 years experience overall,Jacob Circle,Mumbai,? 400,Dentist,"BDS, MDS- Oral Pathology"
Dr. Fahad Naaz,16 years experience overall,Khar West,Mumbai,null,Dentist,BDS
Dr. Keyur Mehta,15 years experience overall,Ghatkopar East,Mumbai,? 350,Dentist,BDS
Dr. Darshan Sheth,12 years experience overall,Ghatkopar East,Mumbai,null,Dentist,BDS
Dr. Dharit Gandhi,4 years experience overall,Bandra West,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. Nida Rangila,25 years experience overall,Mulund East,Mumbai,? 400,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Chetan Bhole,13 years experience overall,Chembur East,Mumbai,? 350,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI"
Dr. Punit Kaur Anand Khalsa,8 years experience overall,Bandra West,Mumbai,? 350,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS"
Dr. Kaiwan K. Shroff,13 years experience overall,Chembur East,Mumbai,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Danesh Nair,16 years experience overall,Mulund West,Mumbai,? 300,Dentist,BDS
Dr. Shlesha Shah,18 years experience overall,Santacruz West,Mumbai,? 200,Dentist,"BDS, Fellowship in Oral implantlogy"
Dr. Sheel Vora,7 years experience overall,Bhandup West,Mumbai,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Jainika,10 years experience overall,Dahisar East,Mumbai,? 200,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Vishakha Darade,9 years experience overall,Mira Bhayandar,Mumbai,? 400,Dentist,"BDS, MDS - Periodontics"
Dr. Neha Agarwal,12 years experience overall,Mira Road,Mumbai,? 400,Dentist,"MDS - Oral & Maxillofacial Surgery, Fellowship in Aesthetic Medicine (FAM), BDS"
Dr. Wishi Parihar,15 years experience overall,Tilak Nagar,Mumbai,null,Dentist,"BDS, MDS- Oral Pathology"
Dr. Aashish Tiwari,10 years experience overall,Mira Road,Mumbai,? 500,Dentist,BDS
Dr. Reetu Kait,14 years experience overall,Andheri East,Mumbai,null,Dentist,BDS
Dr. Rhea Abraham,7 years experience overall,Chembur,Mumbai,? 500,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Rashmi Shetty,34 years experience overall,Chandivali,Mumbai,? 500,Dentist,MDS - Prosthodontics
Dr. Rahul N. Patil,15 years experience overall,Kandivali East,Mumbai,? 250,Dentist,BDS
Dr. Nikhil Surana,21 years experience overall,Mulund West,Mumbai,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Sachin Salunkhe,15 years experience overall,Ghatkopar East,Mumbai,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Amar Ravjiani,34 years experience overall,JB Nagar,Mumbai,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Sonal K Shah,14 years experience overall,Andheri West,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Abbasali Barodawala,19 years experience overall,Lal baug,Mumbai,? 300,Dentist,BDS
Dr. Amit Oswal,13 years experience overall,Kandivali West,Mumbai,? 500,Dentist,"BDS, Fellowship and Diplomate in Implantology from ICOI (USA)"
Dr. Angad Shetye,13 years experience overall,Andheri West,Mumbai,? 500,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Raksha Savla,15 years experience overall,Borivali West,Mumbai,? 500,Dentist,"BDS, MDS - Prosthodontics"
Dr. Kinnari,11 years experience overall,Andheri West,Mumbai,? 400,Dentist,BDS
Dr. Rabiah Patel,22 years experience overall,Andheri West,Mumbai,? 500,Dentist,BDS
Dr. Chitralekha Rane,8 years experience overall,Kandivali East,Mumbai,? 400,Dentist,BDS
Dr. Gautami Sharangpani,12 years experience overall,Prabhadevi,Mumbai,? 400,Dentist,"BDS, Diploma in Implanthology"
Dr. Sumit Bohra,25 years experience overall,Powai,Mumbai,? 300,Dentist,BDS
Dr. Gautam Kikeri,8 years experience overall,Bandra West,Mumbai,? 400,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Ashna Godhwani,25 years experience overall,Dadar West,Mumbai,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Nirmal Rathore,9 years experience overall,Borivali West,Mumbai,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Pallavi Kendrekar,15 years experience overall,Borivali,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. Reema Nanavati,13 years experience overall,Chembur East,Mumbai,? 500,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics"
Dr. Aaditi Mahajan,11 years experience overall,Kandivali East,Mumbai,null,Dentist,"BDS, MDS - Periodontics"
Dr. Mangesh Govardhan Mohod,14 years experience overall,Ghatkopar East,Mumbai,null,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Neha Palvia Parikh,14 years experience overall,Lower Parel,Mumbai,null,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Shoaib Akhai,10 years experience overall,Kandivali West,Mumbai,null,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Pooja Sable,14 years experience overall,Borivali West,Mumbai,? 350,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Deven Dabholkar,7 years experience overall,Chembur East,Mumbai,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Meenu Dinesh,15 years experience overall,Mulund West,Mumbai,? 400,Dentist,"BDS, MDS - Prosthodontics"
Dr. Danesh Nair,15 years experience overall,Andheri West,Mumbai,null,Dentist,BDS
Dr. Pallavi Parekh,22 years experience overall,Powai,Mumbai,? 500,Dentist,"BDS, MDS, Certificate of Oral Implantology, PGCE(Endodontics), PGCE(Endodontics), FICOI"
Dr. Manisha Mehta,8 years experience overall,Mira Road,Mumbai,null,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Vividha Singhania,15 years experience overall,Khar West,Mumbai,? 300,Dentist,BDS
Dr. Reetu Kait,50 years experience overall,Dadar West,Mumbai,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. Rati Chadha,42 years experience overall,Prabhadevi,Mumbai,? 300,Dentist,"BDS, MDS - Community Dentistry"
Dr. Darshan Hiralal Vora,10 years experience overall,Borivali West,Mumbai,? 350,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Sharada P Gowda,12 years experience overall,Chembur East,Mumbai,? 500,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS"
Dr. Ashwini Bhalerao,14 years experience overall,JB Nagar,Mumbai,? 300,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS"
Dr. Priyanka Jairaj Dalvi,26 years experience overall,Borivali West,Mumbai,? 400,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
Dr. Vipin L Mahurkar,9 years experience overall,Prabhadevi,Mumbai,? 300,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Priyanka S. Udeshi,7 years experience overall,Borivali West,Mumbai,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. Ritu Mehta,14 years experience overall,Andheri West,Mumbai,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Pankaj Savla,12 years experience overall,Vileparle West,Mumbai,? 500,Dentist,BDS
Dr. Priyanka Jairaj Dalvi,11 years experience overall,Chembur,Mumbai,? 300,Dentist,"MDS - Orthodontics, BDS"
Dr. Avanti Shah,43 years experience overall,Bandra West,Mumbai,? 500,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
Dr. Mukul Dabholkar,38 years experience overall,Dadar West,Mumbai,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Uday B Shetty,11 years experience overall,Chembur East,Mumbai,? 400,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Akshay Bandewar,13 years experience overall,Bandra West,Mumbai,? 500,Dentist,"BDS, MDS - Orthodontics"
Dr. Sandhya Biyani,23 years experience overall,Goregaon East,Mumbai,? 500,Dentist,"BDS, MICOI (USA)"
Dr. Chitrang Thaker,30 years experience overall,Andheri West,Mumbai,null,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry"
Dr. Parag M. Khatri,20 years experience overall,Mazgaon,Mumbai,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Preeti Shetty,27 years experience overall,Mulund West,Mumbai,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Ajay Thaker,15 years experience overall,Ghatkopar East,Mumbai,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Himanshu Shah,6 years experience overall,Walkeshwar,Mumbai,? 500,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Nikhil Ranjan,10 years experience overall,Santacruz West,Mumbai,? 400,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
Dr. Shraddha Deshmukh,17 years experience overall,Goregaon East,Mumbai,? 500,Dentist,BDS
Dr. Julie Davda,8 years experience overall,Ghatkopar East,Mumbai,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Ritu Sharma,13 years experience overall,Chembur,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Shivani Gupta,22 years experience overall,Khar West,Mumbai,? 500,Dentist,BDS
Dr. Ritika Arora,26 years experience overall,Ghatkopar East,Mumbai,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Arun Swarup,31 years experience overall,Ghatkopar,Mumbai,? 500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Kaushik Gandhi,26 years experience overall,Vileparle West,Mumbai,? 300,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Deepali Bhanushali,8 years experience overall,Goregaon East,Mumbai,? 300,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS"
Dr. Naman Hiralal Vora,14 years experience overall,Colaba,Mumbai,? 500,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
Dr. Shraddha Deshmukh,12 years experience overall,Santacruz West,Mumbai,? 500,Dentist,BDS
Dr. Rachayta Parikh Gala,15 years experience overall,Mulund West,Mumbai,? 200,Dentist,"BDS, MDS - Public Health Dentistry"
Dr. Pankaj Savla,19 years experience overall,Colaba,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Ritu Sharma,17 years experience overall,Bandra West,Mumbai,? 200,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Ashna Godhwani,42 years experience overall,Andheri West,Mumbai,? 400,Dentist,BDS
Dr. Suresh Isawe,14 years experience overall,Kandivali West,Mumbai,? 500,Dentist,BDS
Dr. Kunal Mehta,30 years experience overall,Bandra West,Mumbai,null,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Ashwini Bhalerao,14 years experience overall,Nariman Point,Mumbai,? 350,Dentist,BDS
Dr. Jigna Sanghavi,6 years experience overall,Bhandup West,Mumbai,? 400,Dentist,"BDS, MDS - Orthodontics"
Dr. Prarthana Thakkar,22 years experience overall,Kemps Corner,Mumbai,? 400,Dentist,BDS
Dr. Naman Hiralal Vora,15 years experience overall,Oshiwara,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics, FICOI"
Dr. Nitesh Motwani,13 years experience overall,Lokhandwala,Mumbai,? 250,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Sejal Jain,17 years experience overall,Bandra West,Mumbai,? 500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology"
Dr. Pallavi Parekh,13 years experience overall,Andheri East,Mumbai,? 300,Dentist,"BDS, MDS - Orthodontics"
Dr. Tamara Lopez,14 years experience overall,Santacruz West,Mumbai,? 300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Bhavin Shah,13 years experience overall,Bandra West,Mumbai,? 450,Dentist,BDS
Dr. Zeel N. Mody,36 years experience overall,Chembur East,Mumbai,? 200,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS"
Dr. Burzin Khan,15 years experience overall,Chembur East,Mumbai,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Rati Chadha,8 years experience overall,Fort,Mumbai,? 200,Dentist,BDS
Dr. Hitesh Singhavi,26 years experience overall,Mira Road,Mumbai,? 400,Dentist,"BDS, MDS- Oral Pathology"
Dr. Rajesh Shetty,14 years experience overall,Bhandup West,Mumbai,null,Dentist,BDS
Dr. Sonia Anare,17 years experience overall,Mira Bhayandar,Mumbai,? 350,Dentist,BDS
Dr. Manoj Bodhwani,18 years experience overall,Goregaon East,Mumbai,null,Dentist,BDS
Dr. Manish S. Sonawane,15 years experience overall,Andheri East,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. Gaurav Poplai,17 years experience overall,Chembur,Mumbai,? 400,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Girish Shetake,17 years experience overall,Borivali West,Mumbai,? 350,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI"
Dr. Vivian Varghese,13 years experience overall,Prabhadevi,Mumbai,? 350,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS"
Dr. Harsh Haren Shah,36 years experience overall,Mira Road,Mumbai,? 350,Dentist,"BDS, MDS - Orthodontics"
Dr. Jasmit B.Desai,15 years experience overall,Walkeshwar,Mumbai,? 300,Dentist,BDS
Dr. Dipika Bharani,9 years experience overall,Chandivali,Mumbai,? 200,Dentist,"BDS, Fellowship in Oral implantlogy"
Dr. Sanket Sheth,14 years experience overall,Andheri West,Mumbai,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Abhijit Pawar,12 years experience overall,Mira Bhayandar,Mumbai,? 200,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Vividha Singhania,19 years experience overall,Mira Bhayandar,Mumbai,? 400,Dentist,"BDS, MDS - Periodontics"
Dr. Amit Chavan,36 years experience overall,Tardeo,Mumbai,? 400,Dentist,"MDS - Oral & Maxillofacial Surgery, Fellowship in Aesthetic Medicine (FAM), BDS"
Dr. Pankti Shah,25 years experience overall,Mulund West,Mumbai,null,Dentist,"BDS, MDS- Oral Pathology"
Dr. Kunal Chavan,14 years experience overall,Walkeshwar,Mumbai,? 500,Dentist,BDS
Dr. Amit Majethia,13 years experience overall,Opera House,Mumbai,null,Dentist,BDS
Dr. Menaz Thakkar,23 years experience overall,Kandivali West,Mumbai,? 500,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Saba Rasool,28 years experience overall,Bandra West,Mumbai,? 500,Dentist,MDS - Prosthodontics
Dr. Sakarwala Mustafa,13 years experience overall,Bhandup West,Mumbai,? 250,Dentist,BDS
Dr. Anviti Puranik,20 years experience overall,Andheri West,Mumbai,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Jignesh Kothari,15 years experience overall,Chembur,Mumbai,null,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
Dr. Sneha Hukmani Sheth,10 years experience overall,Mazgaon,Mumbai,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Urvi Ashar,15 years experience overall,Chembur,Mumbai,? 300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
Dr. Aniket Gandhi,16 years experience overall,Marol,Mumbai,? 300,Dentist,BDS
Dr. Meghal Shah,11 years experience overall,Andheri West,Mumbai,? 500,Dentist,"BDS, Fellowship and Diplomate in Implantology from ICOI (USA)"
Dr. Vipin L Mahurkar,12 years experience overall,Mulund West,Mumbai,? 500,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Sagar,14 years experience overall,Malad,Mumbai,? 500,Dentist,"BDS, MDS - Prosthodontics"
Dr. Pooja Sable,26 years experience overall,Vileparle West,Mumbai,? 400,Dentist,BDS
Dr. Mohan Vs,17 years experience overall,Andheri West,Mumbai,? 500,Dentist,BDS
Dr. Gazal Gupta,15 years experience overall,Andheri West,Mumbai,? 400,Dentist,BDS
Dr. Sanhita Shelar,16 years experience overall,Borivali West,Mumbai,? 400,Dentist,"BDS, Diploma in Implanthology"
Dr. Santosh Nayak,10 years experience overall,Worli,Mumbai,? 300,Dentist,BDS
Dr. Maya Nair,12 years experience overall,Mazgaon,Mumbai,? 400,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Manoj Bodhwani,9 years experience overall,Andheri West,Mumbai,? 300,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Namrata Jadwani,22 years experience overall,Bandra West,Mumbai,? 200,Dentist,"BDS, MDS - Oral Medicine and Radiology"
Dr. Varsha Daryanani,19 years experience overall,Kandivali East,Mumbai,? 300,Dentist,"BDS, MDS - Periodontics"
Dr. Shraddha Khedkar Nate,19 years experience overall,Prabhadevi,Mumbai,? 500,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics"
Dr. Nupur Jhunjhunwala,16 years experience overall,Goregaon West,Mumbai,null,Dentist,"BDS, MDS - Periodontics"
Dr. Pooja Desai,14 years experience overall,Bandra West,Mumbai,null,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
Dr. Husain Harianawala,33 years experience overall,Ghatkopar East,Mumbai,null,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Ishwari Bhirud,13 years experience overall,Khar West,Mumbai,null,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
Dr. Nirali Mehta,6 years experience overall,Dadar West,Mumbai,? 350,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
Dr. Saudnya Rudrawar,8 years experience overall,Khar West,Mumbai,? 500,Dentist,"BDS, MDS - Periodontics"
Dr. Rachel Susan Quadros,9 years experience overall,Borivali,Mumbai,? 400,Dentist,"BDS, MDS - Prosthodontics"
Dr. Anubha Jain,12 years experience overall,Tardeo,Mumbai,null,Dentist,BDS
